district_id,eigen,rank
788,0.00536834000114956,71
790,0.00370904798006912,119
791,0.00347445302427971,128
792,0.01005083671952584,13
793,0.00348226369577444,127
795,0.00475297596856137,96
796,0.0034532190022394,130
797,0.00396068501525968,113
798,0.00270514717530685,148
799,0.00293280613060752,142
801,0.00484090737506974,93
802,0.00856555071187956,21
803,0.00482779395844212,94
804,0.0065601895812453,45
805,0.00156652401039428,185
806,0.00387378209280788,115
807,0.00526345759056999,72
808,0.00513586640280766,91
809,0.00165156654100932,182
810,0.00175166900422136,178
811,0.01161624517039692,10
812,0.00347230035144675,129
813,0.00188354491160121,175
814,7.8953587162382e-4,194
815,0.00764652439611359,30
816,0.00526345759056999,72
818,0.00363095442276365,122
819,0.00526345759056999,72
820,9.0396790897716e-4,192
821,0.00823366609696319,23
822,0.00199228723088553,170
823,0.00526345759056999,72
825,0.00209350810283606,166
826,0.00901241452134779,17
827,0.0010417480064694,190
829,0.0026785861292799,149
830,0.00202152765248418,169
831,0.01345026528890039,5
832,0.0017747886804842,177
833,0.00526345759056999,72
834,0.00526345759056999,72
835,0.00526345759056998,85
836,0.0064050672198497,50
837,0.00526345759056999,72
838,0.00478843908520464,95
839,8.0899761338195e-4,193
840,0.00526345759056999,72
842,0.0055967490925987,65
843,0.00971791756775803,15
845,0.00526345759056999,72
847,0.00251047676517686,155
848,0.00668682060448891,43
849,0.00612282457523411,54
850,0.0033853015439929,132
851,0.00788987576180416,26
852,0.00526345759056999,72
853,0.00749063867428132,32
854,0.00417733962817245,108
855,0.00593727173420167,61
856,0.00576010205940577,63
857,0.00352282627460931,126
858,0.00569903410360826,64
859,0.00251814776309324,154
860,0.01047161612362844,12
861,0.00379491427595452,117
862,0.00274902831462285,147
863,0.0039612840523845,112
864,0.00754199731475323,31
865,0.0044568628221131,105
866,0.00541317023778724,70
867,0.00203752382199939,168
868,0.00702491200493803,36
869,0.0032512257007468,134
870,0.00775291539883302,28
871,0.00473807951655418,97
872,0.00375224218217714,118
873,0.00887883522388545,18
875,0.01117200990727799,11
876,0.00317890211952915,136
877,0.00117377936677063,189
878,0.00136667222878745,187
879,0.00453833195601715,100
880,0.00195668272561931,171
881,0.0019529907035211,172
882,0.00808938033887918,24
883,0.00646421601095245,47
884,0.00650482405418621,46
885,0.00459951912328534,99
886,0.00234305639672091,159
887,0.00611419644629851,55
888,0.00417171364491871,109
889,0.0029556976625692,141
890,0.00687763271301623,38
891,0.00526345759056999,72
892,0.00644195550781556,48
893,0.00191202569860029,174
894,0.00671234531617711,42
895,0.00515383456739983,90
896,0.00660424781374589,44
897,0.00807344626392769,25
898,0.00130413550680765,188
901,0.00452544949915153,101
904,0.00365357496378064,121
905,0.00278267173701421,145
906,0.00524111743318186,86
907,0.00219224934055411,160
908,0.00711428945409046,35
909,0.0093558560681852,16
910,0.00526345759056999,72
911,0.00213716923330303,163
915,0.00519596694125656,89
916,0.00428991612186441,106
917,0.00210424380558491,165
918,0.00687479977021303,39
919,0.00471425867130837,98
920,0.00609724228711999,56
921,0.01181509519863256,8
924,0.00265121385066047,151
925,0.00632644881449858,51
926,0.00642991505676507,49
927,0.0024365490698887,156
928,0.00261005131821563,153
929,0.00526345759056999,72
932,0.00541962990185596,69
933,0.00828196058430815,22
934,0.0035395172461145,125
935,0.00607882415677857,57
936,0.0021098658389693,164
937,0.00629247996876794,52
938,0.00329854703555251,133
940,0.00995540175534085,14
941,0.00165424261479083,180
942,0.0088277418661625,19
943,0.02463269491206344,2
944,0.00296826471937403,140
945,9.803920214268e-4,191
947,0.00314572247109899,138
948,0.00281703658171942,144
949,0.00680246401023825,41
950,0.00218735522137292,161
951,0.01261542787317967,7
953,0.00593782726503686,60
954,0.00766777316348282,29
955,0.00594856844581682,59
956,0.00590810624132068,62
957,0.00163211417688881,183
958,0.00149630378528038,186
960,0.00217995162133085,162
961,0.00165311589120855,181
962,0.00205863050828152,167
963,0.00369140226050249,120
965,0.01718871926121994,3
966,0.00359509793045608,124
967,0.00557812159557355,67
968,0.00179037630245737,176
969,0.0049377140069401,92
970,0.00387494886938764,114
972,0.00402005276549855,110
973,0.00543691771263146,68
974,0.00361576806713931,123
976,0.00193398438089125,173
977,0.01337961977313139,6
978,0.00449072599379281,103
979,0.00616181511220773,53
980,0.00558976674085143,66
982,0.00344361791288534,131
983,0.0028766826306559,143
984,0.00323696192916651,135
