district_id,eigen,rank
2640,1.5095322473325e-4,2926
2641,2.7581454994476e-4,1026
2642,6.2173796652084e-4,57
2643,1.1299353391699e-4,3532
2644,5.866394050815988e-5,4392
2645,2.4411522604638e-4,1398
2646,2.5276480600949e-4,1269
2647,2.1021398917573e-4,1973
2648,5.4758304471945e-4,97
2649,1.7008042609951e-4,2604
2650,7.734675330883233e-5,4118
2651,1.360660636734e-4,3168
2652,2.5109729457681e-4,1289
2653,6.999517421654743e-5,4240
2655,2.3665996105629e-4,1493
2672,1.23474396518e-4,3360
2673,2.5671559704508e-4,1214
2674,2.7663048954823e-4,1015
2675,3.9836645791167e-4,336
2676,1.0788810316597e-4,3617
2677,1.6816494768842e-4,2641
2678,3.0144961601049e-4,804
2679,8.704710400067012e-5,3970
2680,1.3134390188219e-4,3238
2681,1.1348656716133e-4,3524
2682,1.8024082013262e-4,2442
2683,6.031394317505794e-5,4371
2684,1.3103798834364e-4,3244
2685,7.794625464866523e-5,4109
2696,1.7789384713709e-4,2472
2697,2.3488531094319e-4,1517
2698,1.9713576134314e-4,2170
2699,1.5855465172022e-4,2792
2700,5.444509906440139e-5,4440
2701,2.9395681660037e-4,861
2702,2.4581440984447e-4,1364
2703,1.0159521971927e-4,3723
2704,3.4096832219206e-4,557
2705,1.4544698567266e-4,3007
2706,2.7280007200913e-4,1058
2707,5.3385573938295e-4,106
2708,5.457380090655372e-5,4438
2709,3.0467887891542e-4,785
2710,1.092080934498e-4,3593
2711,1.2266538480797e-4,3377
2712,1.5034462217955e-4,2933
2713,5.021021739751106e-5,4490
2714,3.8411330885151e-4,387
2715,5.227228952414815e-5,4471
2716,2.7705049693243e-4,1007
2717,4.882296727221942e-5,4508
2718,1.4323257367257e-4,3046
2719,1.3680377520754e-4,3151
2720,2.9805059080043e-4,835
2721,4.015956636050667e-5,4577
2722,6.64578697232023e-5,4284
2723,1.5667439348196e-4,2824
2724,1.8344620034106e-4,2392
2725,1.4211892672974e-4,3069
2726,8.919303712604112e-5,3931
2727,1.444790947085e-4,3022
2728,2.6467222896089e-4,1126
2729,1.634568050186e-4,2708
2730,2.0644886442016e-4,2026
2731,1.3765029245668e-4,3140
2732,1.0763820419193e-4,3622
2733,4.5915337369068e-4,200
2734,3.4102231680334e-4,556
2735,2.955021550618e-4,853
2736,3.970501358061e-4,341
2737,1.5279459193304e-4,2891
2738,2.8371545826677e-4,947
2739,1.2865696976322e-4,3278
2740,2.3953991488623e-4,1460
2741,3.9270090267753e-4,359
2742,5.0478445726684e-4,134
2743,3.0993862081288e-4,756
2750,2.1468269800565e-4,1901
2751,7.6067041027202e-4,17
2752,3.1610788282947e-4,708
2753,2.3689354412909e-4,1489
2754,2.3205446475204e-4,1557
2755,5.5561576216299846e-5,4426
2756,2.5379721062993e-4,1250
2757,2.272785354465e-4,1622
2758,1.0104260932346e-4,3735
2759,1.8126435204909e-4,2428
2760,7.3432994395097e-4,20
2761,3.7974345309688e-4,395
2762,7.789508018484902e-5,4110
2763,5.318568432707373e-5,4464
2764,3.539552732407747e-5,4613
2765,9.158238042032747e-5,3893
2766,3.0782418779989e-4,766
2767,3.121166895839e-4,735
2768,1.0689881616216e-4,3634
2769,1.0718214088667e-4,3630
2770,1.2166832665601e-4,3392
2771,4.212155362883952e-5,4571
2772,2.9075605517769e-4,884
2773,3.896915566586929e-5,4586
2774,2.537146599476e-4,1252
2775,4.7848250575635e-4,168
2776,2.1687190512535e-4,1777
2777,3.9166517847228e-4,363
2778,2.9299390830397e-4,868
2779,1.8950031773459e-4,2285
2780,1.6409063713858e-4,2697
2781,2.9850301826684e-4,832
2782,1.6379507574963e-4,2705
2783,2.267279364535e-4,1632
2784,6.636702679197373e-5,4285
2785,1.8387720978295e-4,2384
2786,1.4523191888965e-4,3010
2787,9.028814608794426e-5,3914
2788,2.7494866914817e-4,1037
2790,2.6644918088582e-4,1113
2791,1.8862462605684e-4,2299
2792,2.3699831449668e-4,1488
2793,2.669396662819e-4,1108
2794,2.2447450342508e-4,1662
2795,6.625187236753802e-5,4288
2796,1.5867928352534e-4,2789
2797,6.372081206690208e-5,4335
2798,8.688807815218316e-5,3975
2799,1.8765641481681e-4,2314
2800,2.0628230157333e-4,2030
2801,1.9108930975752e-4,2261
2802,0.00034482775863481997,526
2803,1.9557167443748e-4,2195
2804,1.3059511999563e-4,3248
2805,4.9076755353206e-4,151
2806,1.3302696404156e-4,3213
2807,4.1225861066376e-4,286
2808,2.316517203191e-4,1559
2809,3.7630084370421e-4,407
2810,7.033968084252897e-5,4233
2811,1.086243940919e-4,3606
2812,4.818335841932612e-5,4513
2813,1.2273222746522e-4,3376
2814,2.1514893198479e-4,1894
2815,1.9153303038486e-4,2255
2816,1.5665651618779e-4,2826
2817,2.4170731770045e-4,1435
2818,1.8683718750605e-4,2326
2819,3.3632289183667e-4,579
2820,1.8372035119019e-4,2387
2821,6.462164441033551e-5,4316
2822,6.012431321403006e-5,4375
2823,1.2779671305749e-4,3289
2824,2.6427196780523e-4,1132
2825,1.5675951838167e-4,2822
2826,8.607462466071102e-5,3994
2827,2.0206555252166e-4,2089
2828,2.7794663832224e-4,1002
2829,1.8138185754073e-4,2425
2830,3.7283243515005e-4,420
2831,1.3132123072834e-4,3240
2832,6.536045391364873e-5,4302
2833,1.0648094763056e-4,3645
2834,1.4107168360036e-4,3091
2835,2.1770831750473e-4,1774
2836,5.449289624432049e-5,4439
2837,2.022949299275e-4,2086
2838,1.7272534408793e-4,2560
2839,9.161851475498728e-5,3891
2840,3.0601341849328e-4,777
2841,1.8928981349279e-4,2293
2842,2.6031300907698e-4,1171
2843,6.8051871502746e-4,32
2844,9.72645118983079e-5,3797
2845,8.668799418197857e-5,3980
2846,8.695044255395794e-5,3973
2847,1.9972840836603e-4,2130
2848,4.8073668398313e-4,165
2849,3.0536462990209e-4,781
2850,2.236959568419e-4,1676
2851,1.0938565742113e-4,3590
2852,1.142062455876e-4,3515
2853,1.9952074457733e-4,2132
2854,2.1630200281042e-4,1785
2855,1.6754549954927e-4,2648
2856,3.7307268518369e-4,419
2857,2.6701640848639e-4,1107
2858,1.7466073131441e-4,2519
2859,8.393111487384924e-5,4029
2860,2.1500760582101e-4,1897
2861,1.1177064423231e-4,3551
2862,1.0667999962771e-4,3640
2863,1.0665141178369e-4,3641
2864,1.6584618486531e-4,2673
2865,1.1971089764527e-4,3425
2866,1.7215499382998e-4,2570
2867,4.6104100428755e-4,192
2868,3.2134422418445e-4,668
2869,3.4841528277095e-4,508
2870,4.1047956089321e-4,293
2871,2.9235691778798e-4,875
2872,3.0309889814087e-4,794
2873,1.6425721537244e-4,2693
2874,2.422544822522e-4,1425
2875,2.1965335104948e-4,1736
2876,9.357789012143492e-5,3867
2877,2.8295955859997e-4,951
2878,1.248081260354e-4,3341
2879,1.90138782984e-4,2278
2880,4.010290705779582e-5,4579
2881,1.8076227275789e-4,2434
2882,1.8679639675378e-4,2328
2883,1.9743969299704e-4,2162
2884,1.9416864998815e-4,2215
2885,1.4624630277531e-4,2993
2886,2.0538226647236e-4,2044
2887,2.1630200281042e-4,1785
2888,2.3563712883361e-4,1503
2889,2.1630200281042e-4,1785
2890,6.466059105395973e-5,4315
2891,6.544782911864149e-5,4301
2892,2.2819530298918e-4,1610
2893,1.1762748155368e-4,3454
2894,4.750207106821637e-5,4522
